s,trip_seconds,trip_miles,fare,tips,tolls,trip_total,payment_type
516,1020.0,23.3,56.0,0.0,0.0,77.0,0
517,1560.0,17.1,42.25,9.25,0.0,55.5,1
518,120.0,0.0,4.25,0.0,0.0,4.75,0
519,720.0,0.1,9.5,0.0,0.0,9.5,0
520,1440.0,17.7,43.5,10.0,0.0,87.5,1
521,180.0,0.0,4.75,0.0,0.0,4.75,0
522,480.0,2.7,9.75,0.0,0.0,9.75,0
523,660.0,1.3,8.0,2.0,0.0,10.0,1
524,240.0,0.5,5.0,2.0,0.0,7.0,1
525,240.0,0.8,5.25,2.0,0.0,8.25,1
526,360.0,0.7,5.75,2.0,0.0,7.75,1
527,0.0,0.0,3.25,0.0,0.0,4.25,0
528,360.0,0.1,9.0,0.0,0.0,9.0,0
529,900.0,5.8,14.85,1.25,0.0,16.1,1
530,0.0,0.0,8.5,2.55,0.0,11.05,1
531,0.0,0.0,15.0,3.75,0.0,18.75,1
532,2100.0,18.5,46.25,0.0,0.0,47.25,1
533,900.0,0.0,13.5,0.0,0.0,13.5,0
534,660.0,1.8,8.75,0.3,0.0,9.05,1
535,360.0,3.7,11.5,2.0,0.0,13.5,1
536,60.0,0.0,3.5,0.0,0.0,3.5,0
537,720.0,2.5,8.85,3.0,0.0,13.85,1
538,720.0,0.2,13.75,1.0,0.0,14.75,1
539,0.0,0.0,6.75,1.69,0.0,8.44,1
540,300.0,1.1,6.25,0.0,0.0,7.75,0
541,420.0,2.7,10.0,0.0,0.0,10.0,0
542,540.0,2.4,8.25,3.0,0.0,11.25,1
543,300.0,0.7,5.5,0.0,0.0,6.5,0
544,0.0,0.0,7.25,1.0,0.0,8.25,1
545,300.0,0.9,6.0,3.0,0.0,10.0,1
546,960.0,8.6,23.75,0.0,0.0,23.75,0
547,240.0,0.7,5.5,0.0,0.0,5.5,0
548,360.0,1.4,7.0,0.0,0.0,8.0,0
549,360.0,1.2,6.5,0.0,0.0,6.5,0
550,1080.0,4.0,14.5,3.1,0.0,18.6,1
551,1200.0,5.4,17.5,3.7,0.0,22.2,1
552,360.0,1.2,6.25,0.0,0.0,7.25,0
553,360.0,1.4,6.75,0.0,0.0,6.75,0
554,2220.0,18.0,46.0,14.0,0.0,60.0,1
555,660.0,0.1,8.75,0.0,0.0,8.75,0
556,420.0,0.4,5.75,0.0,0.0,5.75,0
557,780.0,2.3,8.85,1.0,0.0,9.85,1
558,600.0,1.8,8.5,2.0,0.0,12.0,1
559,1320.0,4.3,15.25,3.05,0.0,18.3,1
560,1440.0,5.0,16.75,2.0,0.0,18.75,1
561,0.0,0.0,38.75,8.0,0.0,46.75,1
562,720.0,4.3,13.5,0.0,0.0,13.5,0
563,0.0,0.0,7.75,1.55,0.0,9.3,1
564,60.0,0.1,3.5,0.0,0.0,3.5,0
565,240.0,0.9,5.25,2.0,0.0,7.25,1
566,540.0,2.9,10.5,0.0,0.0,10.5,0
567,600.0,1.2,6.85,2.0,0.0,8.85,1
